font	group	site	candidate	label	markH	capH	wordH	t	vsCap	vsWordInk	panelH	renderedVsCap	renderedVsWordInk
Inter	pills	EventLogView[IconCheckmarkFilled+Error]	a	Error	12.000	10.182	13.045	0.635	0.000	-0.080	12.000	0.244	0.112
Inter	pills	EventLogView[IconCheckmarkFilled+Info]	a	Info	12.000	10.182	13.045	0.635	0.000	0.159	12.000	0.706	0.343
Inter	pills	EventLogView[IconCheckmarkFilled+Warning]	a	Warning	12.000	10.182	13.045	0.635	0.000	-1.352	12.000	0.508	-1.200
Inter	freshness	ProjectsView[IconWarningFilled+Updated 4 m ago]	a	Updated 4 m ago	12.000	8.727	11.182	1.000	0.000	-1.295	12.000	0.037	-1.336
Inter	legend	StatisticsView[Panel+Einstein@Home]	a	Einstein@Home	12.000	8.727	11.182	1.000	0.000	-1.014	12.000	0.216	-1.092
Inter	legend	StatisticsView[Panel+LHC@home]	a	LHC@home	12.000	8.727	11.182	1.000	0.000	-1.091	12.000	0.111	-1.145
Inter	computing	TasksView[IconChevronDownRegular+Computing]	a	Computing	12.000	9.455	12.114	1.000	0.000	-1.175	16.000	0.773	-0.884
Inter	computing	TasksView[IconPlaySettingsRegular+Computing]	a	Computing	16.000	9.455	12.114	1.000	0.000	-1.175	16.000	0.727	-0.930
Inter	freshness	TasksView[IconWarningFilled+3 deadlines at risk]	a	3 deadlines at risk	12.000	8.727	11.182	1.000	0.000	0.060	27.000	0.227	-0.021
Inter	freshness	TasksView[IconWarningFilled+Updated 4 m ago]	a	Updated 4 m ago	12.000	8.727	11.182	1.000	0.000	-1.295	12.000	0.037	-1.336
Inter	freshness	TransfersView[IconWarningFilled+Updated 4 m ago]	a	Updated 4 m ago	12.000	8.727	11.182	1.000	0.000	-1.295	12.000	0.037	-1.336
Inter	pills	EventLogView[IconCheckmarkFilled+Error]	b	Error	12.000	10.182	13.045	0.635	1.432	1.352	13.500	1.589	1.457
